Displacement_(mm),Force_(kN)
-24.717,0.0069
-24.73,0.0296
-24.7235,0.0199
-24.7332,0.0167
-24.743,0.0102
-24.7235,0.0102
-24.7267,0.1335
-24.7202,0.2666
-24.7202,0.4679
-24.7138,0.5815
-24.717,0.7471
-24.6845,0.8932
-24.7073,1.0522
-24.6943,1.1853
-24.6748,1.3379
-24.6715,1.484
-24.6586,1.656
-24.6618,1.7924
-24.6358,2.0002
-24.6423,2.091
-24.6391,2.2923
-24.6229,2.4319
-24.6196,2.5812
-24.6293,2.7014
-24.6196,2.8929
-24.5969,2.9968
-24.6066,3.1753
-24.5904,3.2824
-24.5839,3.4577
-24.5644,3.5973
-24.5742,3.7726
-24.5677,3.8863
-24.5579,3.9966
-24.5287,4.1719
-24.519,4.3635
-24.519,4.4966
-24.506,4.6621
-24.5157,4.7628
-24.5027,4.9316
-24.4898,5.0582
-24.5027,5.2205
-24.506,5.3536
-24.4768,5.5029
-24.467,5.623
-24.4735,5.7983
-24.467,5.9087
-24.4508,6.0548
-24.4443,6.1782
-24.4411,6.3178
-24.4411,6.4086
-24.4183,6.571
-24.4248,6.6684
-24.4118,6.795
-24.4118,6.8566
-24.3989,7.0222
-24.3826,7.1099
-24.3631,7.2137
-24.3729,7.3209
-24.3631,7.3793
-24.3696,7.4572
-24.3307,7.5221
-24.3372,7.5676
-24.3372,7.6163
-24.3242,7.652
-24.3242,7.7169
-24.3177,7.7364
-24.3112,7.8013
-24.2982,7.8273
-24.2852,7.889
-24.269,7.9149
-24.2917,7.9734
-24.2593,7.9864
-24.2723,8.0156
-24.2723,8.0545
-24.2528,8.0773
-24.2398,8.1097
-24.2333,8.1259
-24.2236,8.1519
-24.2333,8.1779
-24.2171,8.1909
-24.2073,8.2298
-24.2236,8.2623
-24.1878,8.2558
-24.1846,8.2915
-24.1814,8.2915
-24.1716,8.311
-24.1554,8.3402
-24.1554,8.3337
-24.1554,8.3662
-24.1424,8.3824
-24.1262,8.4051
-24.1294,8.3986
-24.1229,8.4408
-24.1002,8.4376
-24.1034,8.4473
-24.097,8.4733
-24.1002,8.4993
-24.0937,8.496
-24.084,8.5123
-24.0612,8.496
-24.0677,8.5382
-24.0418,8.5415
-24.058,8.5512
-24.0418,8.5512
-24.0483,8.5934
-24.0158,8.5804
-24.019,8.5967
-24.0093,8.6064
-24.0093,8.6259
-24.0093,8.6259
-23.9898,8.6291
-23.9768,8.6486
-23.9703,8.6583
-23.9574,8.6908
-23.9379,8.6973
-23.9346,8.7265
-23.9217,8.7298
-23.9087,8.7557
-23.8957,8.7687
-23.8762,8.7914
-23.8665,8.7979
-23.8372,8.8239
-23.8178,8.8239
-23.821,8.8369
-23.7853,8.8596
-23.7788,8.8726
-23.7626,8.8823
-23.7658,8.8953
-23.7496,8.9018
-23.7204,8.931
-23.7139,8.9667
-23.6944,8.957
-23.6879,8.9505
-23.6652,8.9732
-23.6425,8.957
-23.623,9.0057
